DTXSID,Chemical,CASRN,SMILES,Library,Max conc,Median % activity,Tested in CR?,dataset,Comment,UVCB/Markush,NEUTRAL/SALT PAIRS,AQC,QualityCall,T0,T4,Call,SMILES,QSAR_READY_SMILES,MOLECULAR_FORMULA,AVERAGE_MASS,DTXSID,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED
DTXSID6032516,2-Hydroxyethyl octyl sulfide,3547-33-9,CCCCCCCCSCCO,e1k,100.0015,74.97331097,N,training,,,,U-A-S Pass,Pass,U,A,S,CCCCCCCCSCCO,CCCCCCCCSCCO,C10H22OS,190.35,DTXSID6032516,3.64275,0.000592652
DTXSID4027236,"2,3-Dinitrotoluene",602-01-7,CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O,ph2,71.581,57.98867553,N,training,,,,U-A-S Pass,Pass,U,A,S,CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O,CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O,C7H6N2O4,182.135,DTXSID4027236,1.88883,0.000346632
DTXSID3032620,Hexaflumuron,86479-06-3,FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl,ph2,100,-18.93140472,N,training,,,,U-A-S Pass,Pass,U,A,S,FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl,FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl,C16H8Cl2F6N2O3,461.14,DTXSID3032620,5.67693,4.39E-07
DTXSID6034186,Spironolactone,52-01-7,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)SC(C)=O,ph2,100,-5.935613682,N,training,,,,U-A-S Pass,Pass,U,A,S,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)SC(C)=O,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC33CCC(=O)O3)C12,C24H32O4S,416.58,DTXSID6034186,2.78115,7.98E-09
DTXSID2022628,Atenolol,29122-68-7,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,e1k,100.002,15.43204168,N,training,,,,U-A-S Pass,Pass,U,A,S,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,C14H22N2O3,266.341,DTXSID2022628,0.159637,1.10E-09
DTXSID4042096,L-Glucitol,6706-59-8,OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,e1k,,,,leaderboard,,,,U-A-S Pass,Pass,U,A,S,OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO, ,C6H14O6,182.172,DTXSID4042096, , 
DTXSID0026880,"1,2-Ethanediol diacetate",111-55-7,CC(=O)OCCOC(C)=O,e1k,,,,blind test,,,,U-A-S Pass,Pass,U,A,S,CC(=O)OCCOC(C)=O,CC(=O)OCCOC(C)=O,C6H10O4,146.142,DTXSID0026880,0.421694,0.0775028
DTXSID9040716,4-(2-Methylbutan-2-yl)cyclohexanol,5349-51-9,CCC(C)(C)C1CCC(O)CC1,ph2,,,,blind test,,,,U-A-L Pass,Pass,U,A,L,CCC(C)(C)C1CCC(O)CC1,CCC(C)(C)C1CCC(O)CC1,C11H22O,170.296,DTXSID9040716,3.42217,0.0331208
DTXSID1047497,Octyl decyl phthalate,119-07-3,CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,e1k,100.0025,28.02162162,N,training,,,,U-Ac-X Fail,Fail,U,Ac,X,CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,C26H42O4,418.618,DTXSID1047497,7.71913,6.45E-07
DTXSID4027076,Dodecyl sulfate triethanolamine salt,139-96-8,OCCN(CCO)CCO.CCCCCCCCCCCCOS(O)(=O)=O,e1k,,,,blind test,,,,U-Ac-X Fail,Fail,U,Ac,X,OCCN(CCO)CCO.CCCCCCCCCCCCOS(O)(=O)=O,CCCCCCCCCCCCOS(O)(=O)=O,C18H41NO7S,415.59,DTXSID4027076,0.789102,2.08E-05
DTXSID7041675,(±)-Bornyl acetate,76-49-3,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,e1k,100,11.75057048,N,training,,,,U-Ac-L Fail,Fail,U,Ac,L,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C, ,C12H20O2,196.29,DTXSID7041675, , 
DTXSID1021877,2-Chloroethanol,107-07-3,OCCCl,ph2,99.998,10.22503898,N,training,<100 Mas,,,U-Ac-L Fail,Fail,U,Ac,L,OCCCl,OCCCl,C2H5ClO,80.51,DTXSID1021877,0.0292809,7.17547
DTXSID0024553,Azodicarbonamide,123-77-3,NC(=O)N=NC(N)=O,e1k,,,,blind test,,,,U-Ac Fail,Fail,U,Ac, ,NC(=O)N=NC(N)=O,NC(=O)N=NC(N)=O,C2H4N4O2,116.08,DTXSID0024553,-1.69787,1.89E-10
DTXSID6041557,Dihydromyrcenol,53219-21-9, ,e1k,100,28.92535107,N,training,,X,,U-A Unknown,Unknown,A,A,S, , , , ,DTXSID6041557, , 
DTXSID4047597,Poloxalene,11/6/9003, ,e1k,100,13.70363199,N,training,,X,,U-A Unknown,Unknown,U,A, , , , , ,DTXSID4047597, , 
DTXSID8037706,Potassium perfluorooctanesulfonate,2795-39-3,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,150,104.2610502,Y,training,PFAS,,B,U-U Unknown,Unknown,U,U, ,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8F17KO3S,538.22,DTXSID8037706,-1.07883,2.48E-06
DTXSID8020121,Sodium azide,26628-22-8,[Na+].[N-]=[N+]=[N-],ph2,100,6.263621719,N,training,<100 Mas,,,U-U Unknown,Unknown,U,U, ,[Na+].[N-]=[N+]=[N-], ,N3Na,65.011,DTXSID8020121, , 
DTXSID5023825,Indium arsenide,1303-11-3,[As]#[In],ph2,100,-16.18121081,N,training,,,,U-U Unknown,Unknown,U,U, ,[As]#[In], ,AsIn,189.74,DTXSID5023825, , 
DTXSID8041909,Dysprosium(III) chloride,10025-74-8,[Cl-].[Cl-].[Cl-].[Dy+3],e1k,93.8225,6.349106071,N,training,,,,U-U Unknown,Unknown,U,U, ,[Cl-].[Cl-].[Cl-].[Dy+3], ,Cl3Dy,268.85,DTXSID8041909, , 
DTXSID8021272,Sodium chlorite,7758-19-2,[Na+].[O-][Cl]=O,ph2,99.9985,5.983707437,N,training,<100 Mas,,,U-U Unknown,Unknown,U,U, ,[Na+].[O-][Cl]=O, ,ClNaO2,90.44,DTXSID8021272, , 
DTXSID6047448,Potassium chlorate,4/9/3811,[K+].[O-][Cl](=O)=O,e1k,99.949,4.804170189,N,training,,,,U-U Unknown,Unknown,U,U, ,[K+].[O-][Cl](=O)=O, ,ClKO3,122.55,DTXSID6047448, , 
DTXSID2041125,Sodium iodide,7681-82-5,[Na+].[I-],e1k,100,9.467744395,N,training,,,,U-U Unknown,Unknown,U,U, ,[Na+].[I-], ,INa,149.89424,DTXSID2041125, , 
DTXSID1029677,Silica,7631-86-9,O=[Si]=O,ph2,,,,blind test,<100 Mas,,,U-U Unknown,Unknown,U,U, ,O=[Si]=O, ,O2Si,60.083,DTXSID1029677, , 
DTXSID4029692,Potassium nitrate,7757-79-1,[K+].[O-][N+]([O-])=O,e1k,,,,blind test,<100 Mas,,,U-U Unknown,Unknown,U,U, ,[K+].[O-][N+]([O-])=O, ,KNO3,101.102,DTXSID4029692, , 
DTXSID6034924,Sodium trichloroacetate,650-51-1,[Na+].[O-]C(=O)C(Cl)(Cl)Cl,ph2,100,0.265418921,N,training,,,,U-U Unknown,Unknown,U,U, ,[Na+].[O-]C(=O)C(Cl)(Cl)Cl,OC(=O)C(Cl)(Cl)Cl,C2Cl3NaO2,185.36,DTXSID6034924,0.483961,0.0605751
DTXSID9027360,Ammonium carbamate,1111-78-0,[NH4+].NC([O-])=O,ph2,100,14.67611336,N,training,<100 Mas,,,U-U Unknown,Unknown,U,U, ,[NH4+].NC([O-])=O,NC(O)=O,CH6N2O2,78.071,DTXSID9027360,-0.969363,0.00062405
