,PACT_CLASS,PACT_MED,CR_TESTED
DTXSID3024154,10,99.24209985,Y
DTXSID3032628,8,86.01481198,Y
DTXSID6021086,3,23.90825161,N
DTXSID7024299,6,56.37578145,N
DTXSID2032550,3,26.57892215,N
DTXSID3034872,6,63.89055408,N
DTXSID9032327,3,24.24852274,N
DTXSID7024245,10,104.9739642,Y
DTXSID0020440,8,81.65351564,N
DTXSID3034618,3,24.73664049,N
DTXSID1023990,3,30.74465706,N
DTXSID8025599,3,32.23201175,N
DTXSID1032359,9,91.02081014,Y
DTXSID8034665,2,12.31480689,N
DTXSID1032355,5,43.99221094,N
DTXSID1032569,3,23.29489186,N
DTXSID4024145,2,21.59537425,N
DTXSID1024259,4,40.18784142,N
DTXSID2034881,9,88.88782481,Y
DTXSID6024337,4,40.64786123,N
DTXSID1021160,6,55.14258799,N
DTXSID3024316,1,9.745653849,N
DTXSID3034402,4,39.16557518,N
DTXSID1034210,10,106.5983528,Y
DTXSID3024287,1,8.19090822,N
DTXSID4021975,8,83.84409117,N
DTXSID3024102,6,62.27198767,N
DTXSID3032337,7,73.41149411,N
DTXSID8024234,5,47.9953998,N
DTXSID8032386,7,73.27140395,N
DTXSID7032393,8,83.73638309,N
DTXSID8034877,6,59.63645657,N
DTXSID4024195,8,79.41326693,N
DTXSID1023869,6,62.07303837,N
DTXSID0032497,9,93.90808187,Y
DTXSID9034818,4,34.26065234,N
DTXSID2034590,4,35.28259574,N
DTXSID8020628,5,54.8196317,N
DTXSID0024002,6,61.22151526,N
DTXSID1021166,4,38.24201834,N
DTXSID1034503,5,51.08613392,N
DTXSID0021389,2,20.76968355,N
DTXSID2020426,10,99.77857893,Y
DTXSID2040363,8,82.68646279,N
DTXSID4034653,7,69.02283547,N
DTXSID7034545,3,32.11592903,N
DTXSID4024276,5,50.10077497,N
DTXSID9020792,2,11.89381102,N
DTXSID5032525,7,71.69100836,N
DTXSID5023871,5,54.05723575,N
DTXSID6023999,3,24.21154228,N
DTXSID2032552,7,66.83880685,N
DTXSID3034456,5,45.90225665,N
DTXSID5024182,3,23.30352888,N
DTXSID5032600,9,96.3948108,Y
DTXSID7020764,7,74.24083488,N
DTXSID3021196,3,30.11610412,N
DTXSID0024216,7,76.00527179,N
DTXSID8022111,6,57.99510476,N
DTXSID2024242,3,30.37706681,N
DTXSID9020370,2,18.79642347,N
DTXSID4032667,5,47.13961376,N
DTXSID0034803,3,26.4652297,N
DTXSID8032548,3,22.84631001,N
DTXSID9029221,3,30.75198002,N
DTXSID3024235,5,52.16915692,N
DTXSID8024315,4,38.31732968,N
DTXSID5032577,3,23.83603647,N
DTXSID8024159,8,79.55566314,N
DTXSID0023951,4,36.7351515,N
DTXSID1024174,5,51.23860244,N
DTXSID2032398,8,85.74151414,Y
DTXSID7024035,10,99.44886858,Y
DTXSID8034956,7,72.25046397,N
DTXSID8024109,7,75.62871513,N
DTXSID4032615,4,39.56534603,N
DTXSID7021948,2,15.20750962,N
DTXSID0032651,5,46.33093934,N
DTXSID7032555,8,85.15021921,Y
DTXSID0032601,5,44.1124534,N
DTXSID8032544,4,33.16388284,N
DTXSID1022267,2,19.44670236,N
DTXSID9034365,4,40.93170876,N
DTXSID1032519,7,72.22019789,N
DTXSID9020663,0,-8.531836178,N
DTXSID8020759,3,26.14797136,N
DTXSID6034186,0,-5.935613682,N
DTXSID7024081,0,-3.395385839,N
DTXSID3020207,10,109.00626,Y
DTXSID0020529,7,74.69007594,N
DTXSID9024065,2,11.11535402,N
DTXSID2038732,1,6.431185362,N
DTXSID2047355,0,-4.24806906,N
DTXSID8020755,7,76.82100239,N
DTXSID5023322,1,0.188744534,N
DTXSID3021986,1,1.489582657,N
DTXSID1041847,0,-0.470565327,N
DTXSID4020371,3,24.9769292,N
DTXSID7037717,10,100.7015005,Y
DTXSID6021030,8,86.68407311,Y
DTXSID4022529,5,51.54176611,N
DTXSID7032004,3,30.39852015,N
DTXSID0020232,0,-3.242788835,N
DTXSID0021256,10,109.3334172,Y
DTXSID2022381,10,101.9893555,Y
DTXSID6025145,7,75.15746097,N
DTXSID6024466,0,-5.857727007,N
DTXSID6048175,4,33.11058075,N
DTXSID5020027,2,12.42641209,N
DTXSID7021029,0,-12.75913052,N
DTXSID2020634,2,14.13318621,N
DTXSID0021125,10,100.2485136,Y
DTXSID5048186,10,105.0300418,Y
DTXSID1020431,0,-12.72553699,N
DTXSID3022536,10,103.0545157,Y
DTXSID7041097,10,102.2359966,Y
DTXSID6022927,1,1.658337119,N
DTXSID7027041,2,15.30089025,N
DTXSID9020617,9,91.16935845,Y
DTXSID8021808,5,47.35978433,N
DTXSID9036690,6,63.23142337,N
DTXSID8026773,0,-5.782547074,N
DTXSID6047280,4,35.52130341,N
DTXSID4020820,6,60.34694954,N
DTXSID4022442,9,95.15911622,Y
DTXSID1021952,8,79.51122311,N
DTXSID5020281,3,28.03806439,N
DTXSID9022360,9,94.67098603,Y
DTXSID3020257,4,34.39157724,N
DTXSID8022828,1,6.292771816,N
DTXSID4022731,6,56.58715706,N
DTXSID1026081,10,105.7623001,Y
DTXSID3021641,9,94.03927921,Y
DTXSID7022332,9,97.51366673,Y
DTXSID4021185,10,102.5733648,Y
DTXSID5033836,9,89.17999595,Y
DTXSID1020932,1,9.908350001,N
DTXSID5021209,1,2.538975501,N
DTXSID5024845,4,41.69627131,N
DTXSID1020699,7,76.82777562,N
DTXSID4020373,2,19.89685284,N
DTXSID9047334,3,23.76189512,N
DTXSID5024059,10,105.7199789,Y
DTXSID3020679,4,38.16162641,N
DTXSID6020220,6,65.34020981,N
DTXSID6027052,3,29.96542226,N
DTXSID3020205,7,71.09535252,N
DTXSID4024062,5,47.57076716,N
DTXSID2026446,1,6.042313778,N
DTXSID0047167,2,20.49402713,N
DTXSID0020523,10,108.4209547,Y
DTXSID9021217,4,43.57184951,N
DTXSID3025122,1,8.113677606,N
DTXSID3020332,0,-10.65723768,N
DTXSID3021485,2,12.49346415,N
DTXSID3024368,1,6.598838365,N
DTXSID1047287,0,-0.774603175,N
DTXSID4022367,2,15.33968254,N
DTXSID9022312,10,102.4513272,Y
DTXSID4020959,8,80.82875841,N
DTXSID7022049,8,81.68481127,N
DTXSID8023719,10,99.01857884,Y
DTXSID2047303,9,92.9623771,Y
DTXSID4021894,1,5.818678081,N
DTXSID7047358,2,21.79435918,N
DTXSID2020713,0,-6.748070003,N
DTXSID7020348,2,19.72643528,N
DTXSID4024359,10,103.415873,Y
DTXSID5020576,8,87.86031746,Y
DTXSID6040747,2,13.91746032,N
DTXSID5041691,1,10.06172265,N
DTXSID9026689,1,3.301587302,N
DTXSID5020366,1,8.734220403,N
DTXSID3025178,2,15.92380952,N
DTXSID4021393,1,6.273015873,N
DTXSID9024063,9,89.32725412,Y
DTXSID0021094,9,89.98480196,Y
DTXSID6047319,2,12.45714286,N
DTXSID7020005,3,23.578261,N
DTXSID7022174,8,78.59557706,N
DTXSID8024157,8,82.15626066,N
DTXSID2026529,7,66.20736321,N
DTXSID3022370,2,16.4635092,N
DTXSID5020867,9,96.53546726,Y
DTXSID5048182,5,45.4525882,N
DTXSID8020462,1,0.36293175,N
DTXSID3020465,10,103.2,Y
DTXSID4040713,10,105.7163239,Y
DTXSID4032459,8,79.68253968,N
DTXSID0047296,6,59.04283366,N
DTXSID9033058,1,4.596825397,N
DTXSID4020375,2,14.86306256,N
DTXSID8037752,8,78.9968254,N
DTXSID9022817,9,96.2031746,Y
DTXSID9020295,5,47.91314244,N
DTXSID8047266,5,48.36353503,N
DTXSID9047251,1,5.164777908,N
DTXSID2045232,10,104.9693891,Y
DTXSID5022439,9,97.2961875,Y
DTXSID4047258,1,5.575556759,N
DTXSID2020262,9,93.94335234,Y
DTXSID1047576,1,4.810908975,N
DTXSID9032610,5,51.73568338,N
DTXSID1025805,4,40.31512208,N
DTXSID5023877,5,52.25730398,N
DTXSID4020290,9,94.31745467,Y
DTXSID5021124,2,11.10268802,N
DTXSID7042190,1,9.321204081,N
DTXSID8025337,1,2.338547806,N
DTXSID2047359,0,-2.65643261,N
DTXSID8020541,3,24.06539013,N
DTXSID7021940,4,35.09096123,N
DTXSID3037094,1,4.826103947,N
DTXSID2021941,1,2.873801255,N
DTXSID2021866,1,9.919239286,N
DTXSID1040742,1,1.956223914,N
DTXSID6024460,10,109.5896901,Y
DTXSID4021717,8,85.78603241,Y
DTXSID3047267,1,0.423342451,N
DTXSID3026691,1,4.241607372,N
DTXSID6025068,2,17.68533434,N
DTXSID9021390,1,10.70079458,N
DTXSID9027522,5,49.24034292,N
DTXSID7022413,9,88.77561153,Y
DTXSID9036515,3,31.28661746,N
DTXSID8020127,1,1.955534468,N
DTXSID3020627,1,8.774486545,N
DTXSID1047285,0,-1.829422955,N
DTXSID9021554,9,93.65213855,Y
DTXSID3025049,1,10.32022828,N
DTXSID8047264,6,59.62516098,N
DTXSID2026943,1,7.732282943,N
DTXSID2027593,9,98.77932784,Y
DTXSID2021864,7,66.90278375,N
DTXSID5021386,10,99.98305429,Y
DTXSID7047279,4,41.73314356,N
DTXSID3042423,2,15.13950539,N
DTXSID2021600,4,43.3437267,N
DTXSID8024284,1,7.866196706,N
DTXSID8025595,5,50.27307934,N
DTXSID8026224,1,1.544071021,N
DTXSID9023380,2,15.84853199,N
DTXSID0020654,3,24.64922389,N
DTXSID0047456,1,5.296084208,N
DTXSID1023819,1,9.777672338,N
DTXSID6020224,2,11.25417894,N
DTXSID0047327,1,9.614993561,N
DTXSID9032113,3,25.51388567,N
DTXSID8023927,8,87.5923541,Y
DTXSID7021780,5,44.11638145,N
DTXSID8029600,1,9.162225679,N
DTXSID9020087,3,25.43550464,N
DTXSID3036496,2,18.00570704,N
DTXSID2020428,1,10.35384463,N
DTXSID8021519,1,8.734939759,N
DTXSID9021392,1,5.858507959,N
DTXSID8025096,8,79.87819006,N
DTXSID0040707,9,89.36826408,Y
DTXSID6020939,1,2.515639999,N
DTXSID9020168,1,7.048192771,N
DTXSID2026781,2,11.9559101,N
DTXSID3026223,2,12.61099437,N
DTXSID4047252,5,52.24958602,N
DTXSID3047261,2,13.58586716,N
DTXSID1021821,0,-0.81034422,N
DTXSID5031131,5,49.6344086,N
DTXSID5024394,1,3.641577061,N
DTXSID5023742,9,93.23186414,Y
DTXSID9020164,1,2.021505376,N
DTXSID0021254,3,26.10752688,N
DTXSID9048518,9,92.67538644,Y
DTXSID4044581,8,87.94632241,Y
DTXSID2021288,1,8.08221505,N
DTXSID0024000,10,99.67233908,Y
DTXSID5020152,4,43.34284607,N
DTXSID5021754,1,9.699337523,N
DTXSID3040722,8,82.66215692,N
DTXSID6047282,2,11.13979956,N
DTXSID9047598,9,98.12211535,Y
DTXSID6022474,2,12.64516129,N
DTXSID7041623,7,73.64267343,N
DTXSID3021932,2,14.55197133,N
DTXSID1047312,2,21.30148328,N
DTXSID5044576,2,12.09104807,N
DTXSID5047376,2,21.4705986,N
DTXSID9020740,10,101.7060932,Y
DTXSID3047265,3,30.03910792,N
DTXSID8027034,2,11.44086022,N
DTXSID2021028,1,7.297491039,N
DTXSID8020123,9,88.84895888,Y
DTXSID5020869,5,46.16143466,N
DTXSID9021427,3,26.92473118,N
DTXSID5021336,1,9.373195176,N
DTXSID3048520,1,8.888888889,N
DTXSID5023792,2,17.95399235,N
DTXSID5047538,2,16.33155638,N
DTXSID9043938,7,70.69078615,N
DTXSID7029241,9,97.63598749,Y
DTXSID5021885,2,13.13194642,N
DTXSID6022345,3,22.54316839,N
DTXSID4027608,6,60.96013443,N
DTXSID2037712,10,100.2396811,Y
DTXSID2021993,4,42.41800904,N
DTXSID1020807,10,100.9562014,Y
DTXSID3020209,10,100.0883036,Y
DTXSID0048505,9,89.9090277,Y
DTXSID0022777,6,56.9040445,N
DTXSID7025132,6,55.98698153,N
DTXSID7021607,2,11.22827016,N
DTXSID4020161,5,53.46252494,N
DTXSID4021848,2,13.29528335,N
DTXSID2047276,1,2.158419284,N
DTXSID0024052,3,30.12226214,N
DTXSID0020943,7,68.97960366,N
DTXSID3021358,2,12.76219724,N
DTXSID2020268,7,69.58222274,N
DTXSID9027441,9,92.65558002,Y
DTXSID2020890,2,16.55174412,N
DTXSID7020970,7,68.35380693,N
DTXSID4022527,9,96.77970932,Y
DTXSID9020374,3,23.80635068,N
DTXSID7020392,6,65.19005679,N
DTXSID1038321,9,98.77457965,Y
DTXSID1025017,8,80.71197901,N
DTXSID5025607,6,59.48835323,N
DTXSID5020605,1,8.555452544,N
DTXSID4026262,1,6.30721984,N
DTXSID2025133,6,59.84760691,N
DTXSID2026525,7,68.2942369,N
DTXSID6023733,1,5.521064942,N
DTXSID0021961,8,87.04340042,Y
DTXSID6025010,1,1.731827396,N
DTXSID4020119,8,86.84704456,Y
DTXSID0021206,0,-6.791602899,N
DTXSID1047281,1,5.12835321,N
DTXSID7020716,2,19.91279489,N
DTXSID3026564,1,7.359932599,N
DTXSID1044697,7,70.72690414,N
DTXSID3020336,4,42.10100777,N
DTXSID2024086,9,96.31702473,Y
DTXSID9022522,5,51.39903555,N
DTXSID5047291,4,40.14899945,N
DTXSID9025293,0,-8.178371547,N
DTXSID4024066,6,60.91954023,N
DTXSID6022422,7,75.27946713,N
DTXSID6034972,6,59.32257226,N
DTXSID4021426,0,-5.070601484,N
DTXSID1021322,6,55.15289769,N
DTXSID4020240,0,-0.222663537,N
DTXSID9026926,3,32.44267918,N
DTXSID0020311,2,12.90173544,N
DTXSID8024107,3,23.81681153,N
DTXSID5026918,7,71.31877391,N
DTXSID7021946,7,69.45296985,N
DTXSID6047286,1,4.824790038,N
DTXSID2021947,5,46.31688372,N
DTXSID3021645,8,80.45970373,N
DTXSID1020350,4,37.4339695,N
DTXSID2037714,10,101.5285551,Y
DTXSID0026967,3,29.24547371,N
DTXSID4042206,3,29.6744298,N
DTXSID9022524,0,-8.970396877,N
DTXSID2027200,4,36.58913468,N
DTXSID2047278,1,10.46681848,N
DTXSID8035001,9,92.55292959,Y
DTXSID7024112,9,97.63592538,Y
DTXSID1047368,3,22.0129657,N
DTXSID6024836,4,33.45232234,N
DTXSID9026974,10,101.6376321,Y
DTXSID9040716,4,39.67257509,N
DTXSID2022331,8,86.56473242,Y
DTXSID8021771,9,91.16012867,Y
DTXSID0027270,0,-12.10962915,N
DTXSID1020069,10,111.0035784,Y
DTXSID9026261,0,-4.460036107,N
DTXSID1027635,2,11.88191282,N
DTXSID9020299,4,35.01274178,N
DTXSID9047540,8,85.29870343,Y
DTXSID9020249,0,-5.811087438,N
DTXSID4027236,6,57.98867553,N
DTXSID6043709,0,-3.688849898,N
DTXSID4026684,8,78.7776246,N
DTXSID2029874,3,24.78664041,N
DTXSID2020688,9,98.39578895,Y
DTXSID9033923,5,54.25341574,N
DTXSID3025091,10,102.9076325,Y
DTXSID3020966,3,29.07449577,N
DTXSID8023632,2,19.04234367,N
DTXSID3034165,1,2.952179571,N
DTXSID8020961,8,81.34334482,N
DTXSID3038939,10,103.0823032,Y
DTXSID6023652,2,11.88592199,N
DTXSID4021135,10,100.2963791,Y
DTXSID1022053,10,109.9147211,Y
DTXSID6022187,9,97.45561303,Y
DTXSID2026602,9,95.10694813,Y
DTXSID7021605,2,13.8207745,N
DTXSID9022364,2,20.90879737,N
DTXSID2026864,2,15.72207465,N
DTXSID0020498,4,39.63659847,N
DTXSID0040701,2,14.65958339,N
DTXSID8033562,3,29.77368128,N
DTXSID1048174,10,102.0547744,Y
DTXSID7047306,10,105.373969,Y
DTXSID1047289,2,18.76009041,N
DTXSID5020528,6,62.33371891,N
DTXSID2020137,8,80.12022927,N
DTXSID9047253,6,62.73226289,N
DTXSID0047290,2,15.39773522,N
DTXSID4034287,4,42.3841254,N
DTXSID5021201,10,104.7744361,Y
DTXSID7030698,1,3.455754772,N
DTXSID9022528,8,81.33892423,N
DTXSID6024882,1,10.82343073,N
DTXSID3021936,2,15.87166466,N
DTXSID2047274,3,22.25274725,N
DTXSID0021834,10,103.0410661,Y
DTXSID8024523,2,21.46065107,N
DTXSID1021087,3,23.45827568,N
DTXSID3034583,8,83.96287548,N
DTXSID7021815,9,91.02405987,Y
DTXSID0021460,3,28.09096926,N
DTXSID7034549,1,7.442392155,N
DTXSID0041567,9,88.58071115,Y
DTXSID3032389,9,89.97052614,Y
DTXSID1032648,10,100.8784068,Y
DTXSID1025300,5,53.08344865,N
DTXSID7032688,5,45.01975376,N
DTXSID6021957,9,95.96895494,Y
DTXSID7021152,10,100.8847375,Y
DTXSID4042094,4,41.00234643,N
DTXSID5037494,2,15.79327357,N
DTXSID0022480,6,59.26754322,N
DTXSID7042061,2,12.62860237,N
DTXSID9040342,2,15.15552614,N
DTXSID2022628,2,15.43204168,N
DTXSID0029133,4,36.71860899,N
DTXSID5047879,10,102.418627,Y
DTXSID9022526,10,103.2400343,Y
DTXSID0027721,8,87.50977679,Y
DTXSID7023192,2,13.08918277,N
DTXSID0044818,8,86.14938808,Y
DTXSID4020828,2,21.41267072,N
DTXSID7041413,3,24.00197293,N
DTXSID1032309,7,71.82095626,N
DTXSID0041981,3,23.34705993,N
DTXSID6043915,3,29.045285,N
DTXSID0034722,1,7.481343674,N
DTXSID4024721,1,9.848986222,N
DTXSID6041682,10,102.2260995,Y
DTXSID0048183,8,81.52532446,N
DTXSID8029157,8,77.33618963,N
DTXSID8021640,2,20.80110816,N
DTXSID6023602,1,3.747962558,N
DTXSID2025505,7,74.51714854,N
DTXSID5041275,5,52.35598193,N
DTXSID8020466,1,5.448458963,N
DTXSID2026789,2,11.39291203,N
DTXSID1021031,10,108.8844668,Y
DTXSID4040343,3,24.2239091,N
DTXSID2042276,3,26.21338425,N
DTXSID7026867,4,39.50263121,N
DTXSID0020652,10,101.6153576,Y
DTXSID2022048,9,95.05145997,Y
DTXSID5021758,3,28.45604589,N
DTXSID9029223,4,41.05115299,N
DTXSID7022043,2,12.20882038,N
DTXSID9048198,4,34.91861942,N
DTXSID4027282,2,11.18055292,N
DTXSID6042232,3,28.68346295,N
DTXSID1027479,7,69.81418526,N
DTXSID5042243,9,91.82135705,Y
DTXSID6048204,5,52.65775625,N
DTXSID5041512,2,19.03497634,N
DTXSID5026623,3,31.33237088,N
DTXSID5021590,9,98.94099567,Y
DTXSID1027134,9,97.05211195,Y
DTXSID9044825,8,81.69515205,N
DTXSID1020144,6,57.36860588,N
DTXSID5027198,1,10.30083109,N
DTXSID1021871,6,55.25042103,N
DTXSID4044901,7,67.27704559,N
DTXSID8027032,2,12.50144292,N
DTXSID4036435,2,19.53134018,N
DTXSID2023723,2,12.4140544,N
DTXSID5027770,1,1.340730467,N
DTXSID7042198,2,18.45559151,N
DTXSID9032533,9,94.59256536,Y
DTXSID8029105,2,12.83411243,N
DTXSID7032559,6,57.3608084,N
DTXSID6048200,4,35.68456509,N
DTXSID7027756,9,93.65144812,Y
DTXSID5026912,1,6.062159421,N
DTXSID2025135,5,44.57433459,N
DTXSID6024200,3,30.5726174,N
DTXSID5041641,4,41.54081266,N
DTXSID9041491,3,23.72947381,N
DTXSID1042154,10,109.087907,Y
DTXSID3026647,8,84.31918974,N
DTXSID6048202,2,19.27877947,N
DTXSID1021790,9,89.17355867,Y
DTXSID3038808,10,99.73330936,Y
DTXSID2032558,9,94.02587561,Y
DTXSID2023430,0,-0.838004391,N
DTXSID7026285,3,28.93468067,N
DTXSID2024664,1,7.060299848,N
DTXSID5034357,8,86.38079827,Y
DTXSID3036288,2,14.01874366,N
DTXSID1048201,3,30.81325662,N
DTXSID6022391,10,102.9588534,Y
DTXSID9041368,1,10.64065684,N
DTXSID8020915,6,63.00112278,N
DTXSID7030307,9,93.50435161,Y
DTXSID8021062,1,8.039673978,N
DTXSID5048188,4,40.80966079,N
DTXSID7021520,1,4.911302889,N
DTXSID7025429,10,100.0835776,Y
DTXSID3021726,3,22.58107126,N
DTXSID1041970,1,3.616804507,N
DTXSID2026997,3,25.00258327,N
DTXSID5022489,5,53.52134573,N
DTXSID7027833,3,30.2902226,N
DTXSID5026706,3,23.44322344,N
DTXSID2021602,5,53.42349958,N
DTXSID8037754,3,29.31811822,N
DTXSID5026259,2,14.53930685,N
DTXSID3041409,3,27.63407157,N
DTXSID0044575,1,10.45054569,N
DTXSID8021804,4,37.26563229,N
DTXSID3022247,7,75.36146264,N
DTXSID4021921,2,11.0724169,N
DTXSID3026514,2,15.89570489,N
DTXSID7021863,1,8.336183576,N
DTXSID1022394,10,100.6343086,Y
DTXSID8027246,2,13.13702932,N
DTXSID5042299,7,73.20978825,N
DTXSID9022100,8,80.61005566,N
DTXSID9032535,2,14.83484311,N
DTXSID7042356,7,76.7295793,N
DTXSID0023113,5,52.30247816,N
DTXSID1020354,1,10.84854327,N
DTXSID5029217,1,6.383507975,N
DTXSID8042507,2,11.75647523,N
DTXSID0038700,9,98.78113243,Y
DTXSID7021655,3,26.28909552,N
DTXSID5021251,4,40.89736016,N
DTXSID2029616,1,3.6200186,N
DTXSID6021959,10,104.9943168,Y
DTXSID0021597,6,56.93281853,N
DTXSID1041891,6,57.60002364,N
DTXSID8021937,3,25.5011583,N
DTXSID9041815,1,9.819921994,N
DTXSID8029159,3,24.12682466,N
DTXSID2029325,2,20.85278648,N
DTXSID2027414,6,62.36911197,N
DTXSID1025726,9,95.23941246,Y
DTXSID2023193,1,7.227799228,N
DTXSID8042187,2,20.02779923,N
DTXSID7037551,1,6.870161338,N
DTXSID3041663,7,75.37915058,N
DTXSID4021977,5,46.83861004,N
DTXSID2041208,6,60.44092833,N
DTXSID2020212,8,83.89189189,N
DTXSID4020379,4,37.53028781,N
DTXSID4025662,3,27.29448614,N
DTXSID1025857,5,46.07258687,N
DTXSID0042454,4,38.11236204,N
DTXSID6048208,2,15.10844513,N
DTXSID9022366,3,29.7474482,N
DTXSID6021666,9,95.30465103,Y
DTXSID5021388,9,97.0996139,Y
DTXSID4024274,2,13.39382036,N
DTXSID0022436,4,43.31008806,N
DTXSID5022437,10,108.5662786,Y
DTXSID1025809,9,98.16500207,Y
DTXSID0032316,9,94.52020691,Y
DTXSID5020443,8,80.36463566,N
DTXSID6025143,7,67.57766037,N
DTXSID0034229,2,13.29423806,N
DTXSID3035214,2,14.74203652,N
DTXSID1027500,1,2.965250965,N
DTXSID3020043,1,9.476447876,N
DTXSID0020286,8,77.07181467,N
DTXSID7025502,2,13.04710425,N
DTXSID0047957,9,96.74131274,Y
DTXSID8021931,1,10.52242775,N
DTXSID7026811,7,76.30115547,N
DTXSID2020929,1,0.420542883,N
DTXSID6024624,3,31.89257239,N
DTXSID1024049,0,-7.980764261,N
DTXSID9027528,1,6.027105324,N
DTXSID5044784,4,34.70413906,N
DTXSID5032579,5,51.77982751,N
DTXSID8026698,8,80.81409987,N
DTXSID0022353,10,105.6841264,Y
DTXSID5022934,2,13.08647731,N
DTXSID0025864,1,7.847251364,N
DTXSID8020381,4,41.86313241,N
DTXSID1026904,1,8.344710466,N
DTXSID9026500,8,78.93843029,N
DTXSID4047127,2,19.77290134,N
DTXSID0047741,2,15.73707169,N
DTXSID3029572,3,31.68089716,N
DTXSID8027036,2,13.95437747,N
DTXSID8027454,1,0.64992991,N
DTXSID9026841,1,1.032266658,N
DTXSID6026080,0,-6.65547629,N
DTXSID9020372,3,28.04435417,N
DTXSID8026513,1,5.347807266,N
DTXSID8022406,10,106.9894442,Y
DTXSID4024193,10,99.31737205,Y
DTXSID9026342,1,7.429590926,N
