,PACT_CLASS,PACT_MED,CR_TESTED
DTXSID0023951,4,36.7351515,N
DTXSID2022331,8,86.56473242,Y
DTXSID7021815,9,91.02405987,Y
DTXSID2020634,2,14.13318621,N
DTXSID4042206,3,29.6744298,N
DTXSID7027756,9,93.65144812,Y
DTXSID0047327,1,9.614993561,N
DTXSID9026261,0,-4.460036107,N
DTXSID2029874,3,24.78664041,N
DTXSID3021936,2,15.87166466,N
DTXSID8032548,3,22.84631001,N
DTXSID9029223,4,41.05115299,N
DTXSID6024046,9,98.81448633,Y
DTXSID6023999,3,24.21154228,N
DTXSID5033836,9,89.17999595,Y
DTXSID5021251,4,40.89736016,N
DTXSID3022405,9,98.25844347,Y
DTXSID8034401,6,61.37356636,N
DTXSID3024154,10,99.24209985,Y
DTXSID1020069,10,111.0035784,Y
DTXSID9022522,5,51.39903555,N
DTXSID9034816,1,8.037167081,N
DTXSID3032628,8,86.01481198,Y
DTXSID4040343,3,24.2239091,N
DTXSID2025680,10,98.98715636,Y
DTXSID3036288,2,14.01874366,N
DTXSID0034300,2,16.80741562,N
DTXSID7022413,9,88.77561153,Y
DTXSID2022628,2,15.43204168,N
DTXSID1048203,2,15.64983999,N
DTXSID0027014,2,19.88550091,N
DTXSID1027500,1,2.965250965,N
DTXSID0021834,10,103.0410661,Y
DTXSID7034676,7,75.60920129,N
DTXSID1023998,7,66.34559946,N
DTXSID5044576,2,12.09104807,N
DTXSID0028038,3,30.08690529,N
DTXSID4022448,2,21.86913763,N
DTXSID6024460,10,109.5896901,Y
DTXSID5032600,9,96.3948108,Y
DTXSID2026496,1,10.03793103,N
DTXSID5020528,6,62.33371891,N
DTXSID7042356,7,76.7295793,N
DTXSID8026698,8,80.81409987,N
DTXSID3024235,5,52.16915692,N
DTXSID7025427,2,17.39541759,N
DTXSID5027770,1,1.340730467,N
DTXSID9029221,3,30.75198002,N
DTXSID6048204,5,52.65775625,N
DTXSID0032316,9,94.52020691,Y
DTXSID7029611,3,25.99655172,N
DTXSID6020220,6,65.34020981,N
DTXSID1021790,9,89.17355867,Y
DTXSID9027522,5,49.24034292,N
DTXSID3034583,8,83.96287548,N
DTXSID9021976,1,3.302825308,N
DTXSID7032553,6,61.07821476,N
DTXSID1021821,0,-0.81034422,N
DTXSID3020679,4,38.16162641,N
DTXSID1020807,10,100.9562014,Y
DTXSID0044818,8,86.14938808,Y
DTXSID5023742,9,93.23186414,Y
DTXSID7021029,0,-12.75913052,N
DTXSID6028022,9,97.37437128,Y
DTXSID3020209,10,100.0883036,Y
DTXSID6021793,9,90.26503549,Y
DTXSID7021940,4,35.09096123,N
DTXSID3026647,8,84.31918974,N
DTXSID8023848,5,51.42730888,N
DTXSID1020932,1,9.908350001,N
DTXSID8024151,4,40.52732361,N
DTXSID0047456,1,5.296084208,N
DTXSID5020027,2,12.42641209,N
DTXSID7022043,2,12.20882038,N
DTXSID5044815,3,29.16896552,N
DTXSID4022525,9,92.27174961,Y
DTXSID4034497,3,31.7146706,N
DTXSID1047285,0,-1.829422955,N
DTXSID4047127,2,19.77290134,N
DTXSID9024065,2,11.11535402,N
DTXSID4022442,9,95.15911622,Y
DTXSID2032500,9,94.89291009,Y
DTXSID7020716,2,19.91279489,N
DTXSID5021336,1,9.373195176,N
DTXSID0020286,8,77.07181467,N
DTXSID9026689,1,3.301587302,N
DTXSID2032398,8,85.74151414,Y
DTXSID5032579,5,51.77982751,N
DTXSID8027036,2,13.95437747,N
DTXSID1034503,5,51.08613392,N
DTXSID2021995,5,51.7722556,N
DTXSID1025857,5,46.07258687,N
DTXSID1021087,3,23.45827568,N
DTXSID7047358,2,21.79435918,N
DTXSID6024175,2,19.92104464,N
DTXSID0022480,6,59.26754322,N
DTXSID4032615,4,39.56534603,N
DTXSID9022312,10,102.4513272,Y
DTXSID8037754,3,29.31811822,N
DTXSID0041567,9,88.58071115,Y
DTXSID4020820,6,60.34694954,N
DTXSID8034586,4,40.06280721,N
DTXSID1041978,2,19.98275862,N
DTXSID2032550,3,26.57892215,N
DTXSID1032359,9,91.02081014,Y
DTXSID4047882,10,105.2951542,Y
DTXSID0021094,9,89.98480196,Y
DTXSID1021952,8,79.51122311,N
DTXSID1024338,5,48.3046104,N
DTXSID2041252,7,69.5353237,N
DTXSID7020970,7,68.35380693,N
DTXSID7025217,9,98.3876652,Y
DTXSID1047312,2,21.30148328,N
DTXSID0020498,4,39.63659847,N
DTXSID8034665,2,12.31480689,N
DTXSID2020713,0,-6.748070003,N
DTXSID1041891,6,57.60002364,N
DTXSID7024299,6,56.37578145,N
DTXSID7041097,10,102.2359966,Y
DTXSID7042198,2,18.45559151,N
DTXSID0048189,8,79.44753242,N
DTXSID9027312,1,9.8976368,N
DTXSID8023719,10,99.01857884,Y
DTXSID4020290,9,94.31745467,Y
DTXSID1027479,7,69.81418526,N
DTXSID8034877,6,59.63645657,N
DTXSID1042154,10,109.087907,Y
DTXSID1025300,5,53.08344865,N
DTXSID5021413,2,21.44883331,N
DTXSID2024664,1,7.060299848,N
DTXSID8025096,8,79.87819006,N
DTXSID3024368,1,6.598838365,N
DTXSID8020591,4,36.90752906,N
DTXSID9020295,5,47.91314244,N
DTXSID4021848,2,13.29528335,N
DTXSID2045232,10,104.9693891,Y
DTXSID2025505,7,74.51714854,N
DTXSID3032549,9,94.46307771,Y
DTXSID3042423,2,15.13950539,N
DTXSID6020939,1,2.515639999,N
DTXSID6021666,9,95.30465103,Y
DTXSID2026446,1,6.042313778,N
DTXSID9034365,4,40.93170876,N
DTXSID4022109,3,24.69859725,N
DTXSID0047741,2,15.73707169,N
DTXSID2020420,6,64.76056608,N
DTXSID7021100,8,84.14800655,N
DTXSID7027833,3,30.2902226,N
DTXSID9041653,9,96.92307692,Y
DTXSID3022455,4,38.16220644,N
DTXSID0021961,8,87.04340042,Y
DTXSID5042243,9,91.82135705,Y
DTXSID2042191,1,0.743264168,N
DTXSID2023430,0,-0.838004391,N
DTXSID1022053,10,109.9147211,Y
DTXSID8024315,4,38.31732968,N
DTXSID4020375,2,14.86306256,N
DTXSID7024112,9,97.63592538,Y
DTXSID0021337,2,21.78864009,N
DTXSID4022523,10,103.0111993,Y
DTXSID2034590,4,35.28259574,N
DTXSID8025599,3,32.23201175,N
DTXSID4025612,1,0.190895742,N
DTXSID8024072,1,8.21650457,N
DTXSID7024035,10,99.44886858,Y
DTXSID7025003,10,105.0092639,Y
DTXSID7034961,1,5.446837375,N
DTXSID9021554,9,93.65213855,Y
DTXSID0021206,0,-6.791602899,N
DTXSID2041250,5,51.99881332,N
DTXSID7034549,1,7.442392155,N
DTXSID8025337,1,2.338547806,N
DTXSID8026224,1,1.544071021,N
DTXSID2027412,1,5.230377482,N
DTXSID8032386,7,73.27140395,N
DTXSID1020350,4,37.4339695,N
DTXSID0040707,9,89.36826408,Y
DTXSID6023862,1,7.787542498,N
DTXSID8024234,5,47.9953998,N
DTXSID3047265,3,30.03910792,N
DTXSID0020523,10,108.4209547,Y
DTXSID7042190,1,9.321204081,N
DTXSID4024018,6,62.77768357,N
DTXSID2024242,3,30.37706681,N
DTXSID3020043,1,9.476447876,N
DTXSID4047258,1,5.575556759,N
DTXSID6047282,2,11.13979956,N
DTXSID8020179,2,11.47080562,N
DTXSID8024280,4,33.88127854,N
DTXSID5023792,2,17.95399235,N
DTXSID5047538,2,16.33155638,N
DTXSID8037752,8,78.9968254,N
DTXSID9023380,2,15.84853199,N
DTXSID2032637,1,3.086805753,N
DTXSID2023193,1,7.227799228,N
DTXSID3021196,3,30.11610412,N
DTXSID1032648,10,100.8784068,Y
DTXSID4034609,6,57.40167919,N
DTXSID0034803,3,26.4652297,N
DTXSID3021641,9,94.03927921,Y
DTXSID8020462,1,0.36293175,N
DTXSID8020381,4,41.86313241,N
DTXSID9048198,4,34.91861942,N
DTXSID9022100,8,80.61005566,N
DTXSID7029661,3,28.50079693,N
DTXSID0021389,2,20.76968355,N
DTXSID4021393,1,6.273015873,N
DTXSID0047290,2,15.39773522,N
DTXSID6032647,9,96.1798647,Y
DTXSID1032355,5,43.99221094,N
DTXSID2047359,0,-2.65643261,N
DTXSID5024059,10,105.7199789,Y
DTXSID2026789,2,11.39291203,N
DTXSID3037541,4,43.22010663,N
DTXSID0032651,5,46.33093934,N
DTXSID6021086,3,23.90825161,N
DTXSID0021460,3,28.09096926,N
DTXSID5032577,3,23.83603647,N
DTXSID4032459,8,79.68253968,N
DTXSID0047957,9,96.74131274,Y
DTXSID7029320,5,45.81324631,N
DTXSID7030307,9,93.50435161,Y
DTXSID1021871,6,55.25042103,N
DTXSID5044784,4,34.70413906,N
DTXSID1047289,2,18.76009041,N
DTXSID6022008,6,55.15003808,N
DTXSID2021781,7,70.78803948,N
DTXSID4023202,1,10.07120405,N
DTXSID4034653,7,69.02283547,N
DTXSID0044575,1,10.45054569,N
DTXSID8022111,6,57.99510476,N
DTXSID5034270,2,12.50552364,N
DTXSID2026864,2,15.72207465,N
DTXSID0020442,8,86.69774316,Y
DTXSID9024986,3,32.24124406,N
DTXSID1048174,10,102.0547744,Y
DTXSID4044901,7,67.27704559,N
DTXSID6024836,4,33.45232234,N
DTXSID5041691,1,10.06172265,N
DTXSID5041275,5,52.35598193,N
DTXSID5048186,10,105.0300418,Y
DTXSID3032547,10,99.25724945,Y
DTXSID8042187,2,20.02779923,N
DTXSID5025607,6,59.48835323,N
DTXSID9020087,3,25.43550464,N
DTXSID6022927,1,1.658337119,N
DTXSID5032498,10,106.0030698,Y
DTXSID9048196,4,37.94364052,N
DTXSID3026223,2,12.61099437,N
DTXSID3021645,8,80.45970373,N
DTXSID3041877,4,39.96648896,N
DTXSID9021348,3,23.12943292,N
DTXSID1025726,9,95.23941246,Y
DTXSID1022267,2,19.44670236,N
DTXSID4048195,10,101.4618228,Y
DTXSID8022408,10,103.1453744,Y
DTXSID3038939,10,103.0823032,Y
DTXSID4048199,6,61.68164509,N
DTXSID1026904,1,8.344710466,N
DTXSID6020278,10,100.4569688,Y
DTXSID5023871,5,54.05723575,N
DTXSID2025135,5,44.57433459,N
DTXSID1021166,4,38.24201834,N
DTXSID1027134,9,97.05211195,Y
DTXSID5026912,1,6.062159421,N
DTXSID9032535,2,14.83484311,N
DTXSID3023899,4,37.54389325,N
DTXSID1020431,0,-12.72553699,N
DTXSID8027032,2,12.50144292,N
DTXSID0032605,9,94.14863053,Y
DTXSID7021607,2,11.22827016,N
DTXSID0022777,6,56.9040445,N
DTXSID9032327,3,24.24852274,N
DTXSID0034223,3,24.48961555,N
DTXSID0024002,6,61.22151526,N
DTXSID5020869,5,46.16143466,N
DTXSID2042436,8,81.21562496,N
DTXSID5023322,1,0.188744534,N
DTXSID9020372,3,28.04435417,N
DTXSID0038700,9,98.78113243,Y
DTXSID9020827,3,23.80615702,N
DTXSID3035214,2,14.74203652,N
DTXSID0022018,8,77.55192223,N
DTXSID2024086,9,96.31702473,Y
DTXSID4020373,2,19.89685284,N
DTXSID9033058,1,4.596825397,N
DTXSID3029572,3,31.68089716,N
DTXSID1021031,10,108.8844668,Y
DTXSID7042011,8,85.86154624,Y
DTXSID1048201,3,30.81325662,N
DTXSID0047167,2,20.49402713,N
DTXSID5048182,5,45.4525882,N
DTXSID2037712,10,100.2396811,Y
DTXSID8020628,5,54.8196317,N
DTXSID4020379,4,37.53028781,N
DTXSID4022288,9,94.72758621,Y
DTXSID5047879,10,102.418627,Y
DTXSID1027635,2,11.88191282,N
DTXSID0032497,9,93.90808187,Y
DTXSID1023869,6,62.07303837,N
DTXSID6022391,10,102.9588534,Y
DTXSID8042422,1,8.492481332,N
DTXSID2021602,5,53.42349958,N
DTXSID7047279,4,41.73314356,N
DTXSID0020311,2,12.90173544,N
DTXSID3037094,1,4.826103947,N
DTXSID8034956,7,72.25046397,N
DTXSID1023990,3,30.74465706,N
DTXSID8032675,8,78.56747878,N
DTXSID5041641,4,41.54081266,N
DTXSID7032393,8,83.73638309,N
DTXSID4022446,10,100.872136,Y
DTXSID9020663,0,-8.531836178,N
DTXSID9041491,3,23.72947381,N
DTXSID7020348,2,19.72643528,N
DTXSID8024157,8,82.15626066,N
DTXSID8027034,2,11.44086022,N
DTXSID3034618,3,24.73664049,N
DTXSID1024174,5,51.23860244,N
DTXSID0020529,7,74.69007594,N
DTXSID5020605,1,8.555452544,N
DTXSID7022332,9,97.51366673,Y
DTXSID2021993,4,42.41800904,N
DTXSID7026368,6,55.85022026,N
DTXSID4024145,2,21.59537425,N
DTXSID8020123,9,88.84895888,Y
DTXSID3041663,7,75.37915058,N
DTXSID1022421,3,23.25688708,N
DTXSID3021356,0,-3.69491308,N
DTXSID6024466,0,-5.857727007,N
DTXSID8021804,4,37.26563229,N
DTXSID6032516,7,74.97331097,N
DTXSID5032654,0,-4.778267254,N
DTXSID3032416,8,85.96614305,Y
DTXSID8020915,6,63.00112278,N
DTXSID8027454,1,0.64992991,N
DTXSID8042507,2,11.75647523,N
DTXSID0024000,10,99.67233908,Y
DTXSID1022396,9,94.68875456,Y
DTXSID7021605,2,13.8207745,N
DTXSID3021485,2,12.49346415,N
DTXSID9024194,7,70.56880355,N
DTXSID2026525,7,68.2942369,N
DTXSID2020688,9,98.39578895,Y
DTXSID0020446,4,34.40273255,N
DTXSID8021808,5,47.35978433,N
DTXSID8026141,1,9.517613766,N
DTXSID6024200,3,30.5726174,N
DTXSID2026781,2,11.9559101,N
DTXSID9036690,6,63.23142337,N
DTXSID4021977,5,46.83861004,N
DTXSID5023877,5,52.25730398,N
DTXSID5042299,7,73.20978825,N
DTXSID7029241,9,97.63598749,Y
DTXSID1029128,1,7.817241379,N
DTXSID6020224,2,11.25417894,N
DTXSID6027052,3,29.96542226,N
DTXSID5048188,4,40.80966079,N
DTXSID2026997,3,25.00258327,N
DTXSID6040747,2,13.91746032,N
DTXSID3047261,2,13.58586716,N
DTXSID4044581,8,87.94632241,Y
DTXSID0021125,10,100.2485136,Y
DTXSID7041889,3,26.64301552,N
DTXSID8021931,1,10.52242775,N
DTXSID0026967,3,29.24547371,N
DTXSID5021386,10,99.98305429,Y
DTXSID4021135,10,100.2963791,Y
DTXSID3041409,3,27.63407157,N
DTXSID9021847,6,57.91622239,N
DTXSID1041188,5,50.24055424,N
DTXSID0020814,3,26.26270118,N
DTXSID5034357,8,86.38079827,Y
DTXSID4048191,4,43.36185941,N
DTXSID7021863,1,8.336183576,N
DTXSID8026513,1,5.347807266,N
DTXSID7041413,3,24.00197293,N
DTXSID5022510,9,90.26459719,Y
DTXSID5021758,3,28.45604589,N
DTXSID1032482,5,46.68704712,N
DTXSID8022828,1,6.292771816,N
DTXSID4024276,5,50.10077497,N
DTXSID7030698,1,3.455754772,N
DTXSID5020154,10,104.9963176,Y
DTXSID7032688,5,45.01975376,N
DTXSID0024216,7,76.00527179,N
DTXSID5029217,1,6.383507975,N
DTXSID3020625,2,18.21724138,N
DTXSID8022406,10,106.9894442,Y
DTXSID7038864,4,39.25361887,N
DTXSID0034930,1,9.812619068,N
DTXSID0048183,8,81.52532446,N
DTXSID9022360,9,94.67098603,Y
DTXSID7026867,4,39.50263121,N
DTXSID6025143,7,67.57766037,N
DTXSID1021322,6,55.15289769,N
DTXSID7023192,2,13.08918277,N
DTXSID4027997,2,17.22985957,N
DTXSID8020755,7,76.82100239,N
DTXSID6022474,2,12.64516129,N
DTXSID5047376,2,21.4705986,N
DTXSID4024193,10,99.31737205,Y
DTXSID2022381,10,101.9893555,Y
DTXSID6032649,3,28.11901606,N
DTXSID3022247,7,75.36146264,N
DTXSID7041544,3,29.11231825,N
DTXSID6048202,2,19.27877947,N
DTXSID7042061,2,12.62860237,N
DTXSID5021388,9,97.0996139,Y
DTXSID0020022,10,102.9043768,Y
DTXSID2042276,3,26.21338425,N
DTXSID3048520,1,8.888888889,N
DTXSID8020961,8,81.34334482,N
DTXSID8024238,10,103.0129043,Y
DTXSID9020247,8,79.55516276,N
DTXSID7024081,0,-3.395385839,N
DTXSID3024316,1,9.745653849,N
DTXSID6034392,3,29.32338477,N
DTXSID3022409,8,87.73274596,Y
DTXSID7027041,2,15.30089025,N
DTXSID9020299,4,35.01274178,N
DTXSID5031131,5,49.6344086,N
DTXSID9024063,9,89.32725412,Y
DTXSID0048505,9,89.9090277,Y
DTXSID2041208,6,60.44092833,N
DTXSID9047598,9,98.12211535,Y
DTXSID5027198,1,10.30083109,N
DTXSID3025091,10,102.9076325,Y
DTXSID4021975,8,83.84409117,N
DTXSID9023914,1,8.167667941,N
DTXSID2037714,10,101.5285551,Y
DTXSID8027246,2,13.13702932,N
DTXSID1032569,3,23.29489186,N
DTXSID9034282,4,34.84843869,N
DTXSID9047253,6,62.73226289,N
DTXSID2034627,8,84.47569634,N
DTXSID9020243,9,89.13080553,Y
DTXSID2040363,8,82.68646279,N
DTXSID5021332,5,49.11769038,N
DTXSID4027236,6,57.98867553,N
DTXSID5024394,1,3.641577061,N
DTXSID8024109,7,75.62871513,N
DTXSID0021256,10,109.3334172,Y
DTXSID5023900,4,40.41271105,N
DTXSID9036515,3,31.28661746,N
DTXSID9047590,9,91.85609398,Y
DTXSID6026080,0,-6.65547629,N
DTXSID9026342,1,7.429590926,N
DTXSID3022370,2,16.4635092,N
DTXSID6024624,3,31.89257239,N
DTXSID5024845,4,41.69627131,N
DTXSID5025021,4,37.80759881,N
DTXSID4020240,0,-0.222663537,N
DTXSID9025293,0,-8.178371547,N
DTXSID6044430,6,63.13096216,N
DTXSID1047287,0,-0.774603175,N
DTXSID3020207,10,109.00626,Y
DTXSID5032525,7,71.69100836,N
DTXSID4020828,2,21.41267072,N
DTXSID0026880,1,3.315148972,N
DTXSID2021028,1,7.297491039,N
DTXSID1024049,0,-7.980764261,N
DTXSID2047278,1,10.46681848,N
DTXSID2042060,0,-7.800372057,N
DTXSID1032640,5,44.69450297,N
DTXSID8021640,2,20.80110816,N
DTXSID3040722,8,82.66215692,N
DTXSID2034625,9,88.1985106,Y
DTXSID6021824,10,105.453933,Y
DTXSID4024721,1,9.848986222,N
DTXSID5034773,6,60.00819224,N
DTXSID2047355,0,-4.24806906,N
DTXSID3034612,3,24.78420975,N
DTXSID3041299,2,19.60356662,N
DTXSID2026602,9,95.10694813,Y
DTXSID3021358,2,12.76219724,N
DTXSID5047291,4,40.14899945,N
DTXSID2020428,1,10.35384463,N
DTXSID7024160,5,51.80502458,N
DTXSID3020627,1,8.774486545,N
DTXSID8029157,8,77.33618963,N
DTXSID2027593,9,98.77932784,Y
DTXSID3021853,1,6.568734364,N
DTXSID3020257,4,34.39157724,N
DTXSID7020182,9,96.0434313,Y
DTXSID9032610,5,51.73568338,N
DTXSID9032533,9,94.59256536,Y
DTXSID5020152,4,43.34284607,N
DTXSID7022049,8,81.68481127,N
DTXSID5024182,3,23.30352888,N
DTXSID4025292,1,5.287762967,N
DTXSID1022394,10,100.6343086,Y
DTXSID8021771,9,91.16012867,Y
DTXSID2022123,2,17.10586443,N
DTXSID6023652,2,11.88592199,N
DTXSID4022731,6,56.58715706,N
DTXSID6023602,1,3.747962558,N
DTXSID6041682,10,102.2260995,Y
DTXSID5022437,10,108.5662786,Y
DTXSID7021948,2,15.20750962,N
DTXSID9029302,6,61.09436141,N
DTXSID7026811,7,76.30115547,N
DTXSID2027200,4,36.58913468,N
DTXSID9022366,3,29.7474482,N
DTXSID9022364,2,20.90879737,N
DTXSID4022020,3,22.64063353,N
DTXSID9022524,0,-8.970396877,N
DTXSID0034722,1,7.481343674,N
DTXSID0044571,8,78.86343612,N
DTXSID1020699,7,76.82777562,N
DTXSID9032329,2,21.50924199,N
DTXSID2020262,9,93.94335234,Y
DTXSID4021426,0,-5.070601484,N
DTXSID9020792,2,11.89381102,N
DTXSID4021894,1,5.818678081,N
DTXSID7032555,8,85.15021921,Y
DTXSID2021288,1,8.08221505,N
DTXSID9022607,1,9.472283814,N
DTXSID4027608,6,60.96013443,N
DTXSID9020249,0,-5.811087438,N
DTXSID8047264,6,59.62516098,N
DTXSID8040484,1,8.079556794,N
DTXSID8047266,5,48.36353503,N
DTXSID0021597,6,56.93281853,N
DTXSID1024259,4,40.18784142,N
DTXSID8021937,3,25.5011583,N
DTXSID4022361,9,90.08786147,Y
DTXSID9020168,1,7.048192771,N
DTXSID1032488,3,26.16959325,N
DTXSID6034972,6,59.32257226,N
DTXSID4021717,8,85.78603241,Y
DTXSID7032004,3,30.39852015,N
DTXSID7021946,7,69.45296985,N
DTXSID0020440,8,81.65351564,N
DTXSID3038808,10,99.73330936,Y
DTXSID5034303,8,84.15083223,N
DTXSID2020929,1,0.420542883,N
DTXSID9020407,4,39.14527581,N
DTXSID6022341,3,26.92013024,N
DTXSID4022367,2,15.33968254,N
DTXSID1038321,9,98.77457965,Y
DTXSID8024317,2,14.55761879,N
