DTXSID,Chemical,CASRN,SMILES,Library,Max conc,Median % activity,Tested in CR?,,,,
DTXSID6024048,Difenzoquat metilsulfate,43222-48-6,COS([O-])(=O)=O.CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1,ph1_v2,99.999,90.96828896,Y,,,,
DTXSID8024280,Propiconazole,60207-90-1,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,ph1_v2,100.0025,33.88127854,N,,,,
DTXSID7020182,Bisphenol A,80-05-7,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,ph1_v2,100,96.0434313,Y,,,,
DTXSID9020243,Captan,133-06-2,[H][C@@]12CC=CC[C@]1([H])C(=O)N(SC(Cl)(Cl)Cl)C2=O,ph1_v2,98.66,89.13080553,Y,,,,
DTXSID9021976,2-Phenoxyethanol,122-99-6,OCCOC1=CC=CC=C1,ph1_v2,100,3.302825308,N,,,,
DTXSID4032580,Trifloxystrobin,141517-21-7,CO\N=C(\C(=O)OC)C1=CC=CC=C1CO\N=C(/C)C1=CC(=CC=C1)C(F)(F)F,ph1_v2,99.997,65.35728498,N,,,,
DTXSID5034270,Imazapic,104098-48-8,CC(C)C1(C)NC(=NC1=O)C1=NC=C(C)C=C1C(O)=O,ph1_v2,100.0025,12.50552364,N,,,,
DTXSID6032647,2-(Thiocyanomethylthio)benzothiazole,21564-17-0,N#CSCSC1=NC2=CC=CC=C2S1,ph1_v2,100.0015,96.1798647,Y,,,,
DTXSID8035180,Allethrin,584-79-2,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC=C)=C2C)C1(C)C,ph1_v2,98.4045,37.51738172,N,,,,
DTXSID7024902,Dazomet,533-74-4,CN1CSC(=S)N(C)C1,ph1_v2,100,26.65782884,N,,,,
DTXSID4024018,Dicamba,1918-00-9,COC1=C(Cl)C=CC(Cl)=C1C(O)=O,ph1_v2,100,62.77768357,N,,,,
DTXSID4032405,Formetanate hydrochloride,23422-53-9,Cl.CNC(=O)OC1=CC=CC(=C1)N=CN(C)C,ph1_v2,100.746,13.87244071,N,,,,
DTXSID5034303,Fluroxypyr-meptyl,81406-37-3,CCCCCCC(C)OC(=O)COC1=NC(F)=C(Cl)C(N)=C1Cl,ph1_v2,99.9975,84.15083223,N,,,,
DTXSID9032329,Bensulide,741-58-2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,ph1_v2,100.0035,21.50924199,N,,,,
DTXSID5035957,Cyfluthrin,68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1,ph1_v2,100,48.13973207,N,,,,
DTXSID5020601,"4,5-Dihydro-2-mercaptoimidazole",96-45-7,S=C1NCCN1,ph1_v2,100,-7.267638828,N,,,,
DTXSID8024151,Imazalil,35554-44-0,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C,ph1_v2,99.999,40.52732361,N,,,,
DTXSID2032390,Fenarimol,60168-88-9,OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,ph1_v2,100.084,54.1631338,N,,,,
DTXSID9020112,Atrazine,1912-24-9,CCNC1=NC(NC(C)C)=NC(Cl)=N1,ph1_v2,99.9985,6.872882604,N,,,,
DTXSID2032637,Pymetrozine,123312-89-0,CC1=NNC(=O)N(C1)\N=C\C1=CC=CN=C1,ph1_v2,100,3.086805753,N,,,,
DTXSID3032547,Etridiazole,2593-15-9,CCOC1=NC(=NS1)C(Cl)(Cl)Cl,ph1_v2,99.998,99.25724945,Y,,,,
DTXSID6034392,Boscalid,188425-85-6,ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1,ph1_v2,99.9985,29.32338477,N,,,,
DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,ph1_v2,99.98,5.612019443,N,,,,
DTXSID1020194,Boric acid (H3BO3),10043-35-3,OB(O)O,ph1_v2,100,-4.83635747,N,,,,
DTXSID2024163,Linuron,330-55-2,CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,ph1_v2,99.9985,60.22978347,N,,,,
DTXSID0032578,Thiodicarb,59669-26-0,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,ph1_v2,100,67.08793637,N,,,,
DTXSID1034634,Forchlorfenuron,68157-60-8,ClC1=NC=CC(NC(=O)NC2=CC=CC=C2)=C1,ph1_v2,99.9355,54.5701204,N,,,,
DTXSID9020247,Carbaryl,63-25-2,CNC(=O)OC1=C2C=CC=CC2=CC=C1,ph1_v2,100,79.55516276,N,,,,
DTXSID2032392,Fenoxaprop-ethyl,66441-23-4,CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,ph1_v2,100.0015,80.36824275,N,,,,
DTXSID2034962,Thiamethoxam,153719-23-4,CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O,ph1_v2,100.0015,1.037815839,N,,,,
DTXSID3034612,Fluazifop-butyl,69806-50-4,CCCCOC(=O)C(C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1,ph1_v2,100,24.78420975,N,,,,
DTXSID5020154,Clorophene,120-32-1,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,ph1_v2,100,104.9963176,Y,,,,
DTXSID0022018,Disulfoton,298-04-4,CCOP(=S)(OCC)SCCSCC,ph1_v2,44.51315,77.55192223,N,,,,
DTXSID5032498,Triclosan,3380-34-5,OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,ph1_v2,100,106.0030698,Y,,,,
DTXSID4034609,Fipronil,120068-37-3,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,ph1_v2,100,57.40167919,N,,,,
DTXSID0032493,Triadimenol,55219-65-3,CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,ph1_v2,99.9925,10.36087789,N,,,,
DTXSID5021332,Bis(dimethylaminothiocarbonyl) disulfide,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,ph1_v2,100.0075,49.11769038,N,,,,
DTXSID0039223,Aldicarb,116-06-3,CNC(=O)ON=CC(C)(C)SC,ph1_v2,99.999,-2.836677847,N,,,,
DTXSID4022448,Metolachlor,51218-45-2,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,ph1_v2,100.0015,21.86913763,N,,,,
DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,CCCCNC(=O)OCC#CI,ph1_v2,100.002,30.08690529,N,,,,
DTXSID4021268,Simazine,122-34-9,CCNC1=NC(NCC)=NC(Cl)=N1,ph1_v2,99.9985,0.686404478,N,,,,
DTXSID2021781,"Dibutyl 1,2-benzenedicarboxylate",84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,ph1_v2,99.998,70.78803948,N,,,,
DTXSID3032549,Fenhexamid,126833-17-8,CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1,ph1_v2,100,94.46307771,Y,,,,
DTXSID8024238,Oryzalin,19044-88-3,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O,ph1_v2,99.997,103.0129043,Y,,,,
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,ph1_v2,100,86.69774316,Y,,,,
DTXSID4032376,Dimethenamid,87674-68-8,COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C,ph1_v2,99.998,1.146345599,N,,,,
DTXSID7034961,Thiacloprid,111988-49-9,ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1,ph1_v2,100,5.446837375,N,,,,
DTXSID2032344,Chlorethoxyfos,54593-83-8,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,ph1_v2,100,89.57136544,Y,,,,
DTXSID8034588,Famoxadone,131807-57-3,CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,ph1_v2,100.412,66.56265898,N,,,,
DTXSID5023900,Benomyl,17804-35-2,CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2,ph1_v2,99.998,40.41271105,N,,,,
DTXSID0034223,Tebufenpyrad,119168-77-3,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,ph1_v2,99.8415,24.48961555,N,,,,
DTXSID4032532,Carfentrazone-ethyl,128639-02-1,CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O,ph1_v2,100.249,33.05024577,N,,,,
DTXSID2034465,Clothianidin,210880-92-5,CN\C(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O,ph1_v2,99.9975,11.17745742,N,,,,
DTXSID7024241,Oxyfluorfen,42874-03-3,CCOC1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O,ph1_v2,100.0035,59.80065538,N,,,,
DTXSID4032611,Ethoprop,13194-48-4,CCCSP(=O)(OCC)SCCC,ph1_v2,100.159,24.58492627,N,,,,
DTXSID0021337,Thiabendazole,148-79-8,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,ph1_v2,99.9985,21.78864009,N,,,,
DTXSID4022020,Bromacil,314-40-9,CCC(C)N1C(=O)NC(C)=C(Br)C1=O,ph1_v2,100.0015,22.64063353,N,,,,
DTXSID7021100,Parathion,56-38-2,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,ph1_v2,49.96165,84.14800655,N,,,,
DTXSID9040001,Monomethyl phthalate,4376-18-5,COC(=O)C1=C(C=CC=C1)C(O)=O,ph1_v2,100,15.97760786,N,,,,
DTXSID7032470,Propetamphos,31218-83-4,CCNP(=S)(OC)O\C(C)=C\C(=O)OC(C)C,ph1_v2,100,74.60388346,N,,,,
DTXSID5020449,Dichlorvos,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,ph1_v2,49.75735,13.93500819,N,,,,
DTXSID2032683,Mevinphos,7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC,ph1_v2,100,13.65691376,N,,,,
DTXSID9023914,Dicrotophos,141-66-2,COP(=O)(OC)O\C(C)=C\C(=O)N(C)C,ph1_v2,100.38,8.167667941,N,,,,
DTXSID9032581,Zoxamide,156052-68-5,CCC(C)(NC(=O)C1=CC(Cl)=C(C)C(Cl)=C1)C(=O)CCl,ph1_v2,100.354,63.17586019,N,,,,
DTXSID6024204,Metribuzin,21087-64-9,CSC1=NN=C(C(=O)N1N)C(C)(C)C,ph1_v2,100.001,10.71272529,N,,,,
DTXSID2034627,Fluroxypyr,69377-81-7,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl,ph1_v2,100.0015,84.47569634,N,,,,
DTXSID2024793,Chloroneb,2675-77-6,COC1=CC(Cl)=C(OC)C=C1Cl,ph1_v2,99.9985,86.96613872,Y,,,,
DTXSID6034265,Clopyralid-olamine,57754-85-5,NCCO.OC(=O)C1=C(Cl)C=CC(Cl)=N1,ph1_v2,100,20.81649372,N,,,,
DTXSID7040362,5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,50-65-7,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O,ph1_v2,50.0015,103.9066826,Y,,,,
DTXSID5024344,Tri-allate,2303-17-5,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,ph1_v2,100,46.64050726,N,,,,
DTXSID8020620,Fenthion,55-38-9,COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,ph1_v2,100.0015,93.98902442,Y,,,,
DTXSID6024175,Metalaxyl,57837-19-1,COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C,ph1_v2,99.997,19.92104464,N,,,,
DTXSID8034871,Pyraflufen-ethyl,129630-19-9,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C1=NN(C)C(OC(F)F)=C1Cl,ph1_v2,100.0035,55.66084107,N,,,,
DTXSID3034664,Imazamox,114311-32-9,COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,ph1_v2,100.003,4.781540142,N,,,,
DTXSID3032464,Profenofos,41198-08-7,CCCSP(=O)(OCC)OC1=C(Cl)C=C(Br)C=C1,ph1_v2,49.7732,97.11075771,Y,,,,
DTXSID9020407,Diazinon,333-41-5,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,ph1_v2,100,39.14527581,N,,,,
DTXSID5032442,Imidacloprid,138261-41-3,[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1,ph1_v2,100,13.27962862,N,,,,
DTXSID2026523,Symclosene,87-90-1,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,ph1_v2,100.0015,27.10813763,N,,,,
DTXSID6032645,Sulfentrazone,122836-35-5,CC1=NN(C(=O)N1C(F)F)C1=CC(NS(C)(=O)=O)=C(Cl)C=C1Cl,ph1_v2,100,79.39662771,N,,,,
DTXSID8034401,Buprofezin,69327-76-0,CC(C)N1C(SCN(C1=O)C1=CC=CC=C1)=NC(C)(C)C,ph1_v2,100,61.37356636,N,,,,
DTXSID2021995,DEET,134-62-3,CCN(CC)C(=O)C1=CC=CC(C)=C1,ph1_v2,100,51.7722556,N,,,,
DTXSID0032655,Triticonazole,131983-72-7,CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,ph1_v2,99.639,15.90182383,N,,,,
DTXSID4021395,Trifluralin,1582-09-8,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,ph1_v2,100.0025,89.20535227,Y,,,,
DTXSID4040002,Monobutyl phthalate,131-70-4,CCCCOC(=O)C1=C(C=CC=C1)C(O)=O,ph1_v2,100.002,28.48443474,N,,,,
DTXSID6032641,Quinclorac,84087-01-4,OC(=O)C1=C(Cl)C=CC2=CC(Cl)=CN=C12,ph1_v2,99.998,18.74093662,N,,,,
DTXSID0024266,Pirimiphos-methyl,29232-93-7,CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1,ph1_v2,99.997,70.047485,N,,,,
DTXSID5034773,Novaluron,116714-46-6,FC(OC(F)(F)F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1,ph1_v2,49.9899,60.00819224,N,,,,
DTXSID3024152,Imazaquin,81335-37-7,CC(C)C1(C)N=C(NC1=O)C1=NC2=C(C=CC=C2)C=C1C(O)=O,ph1_v2,100.0015,14.45931185,N,,,,
DTXSID6024177,Methamidophos,10265-92-6,COP(N)(=O)SC,ph1_v2,100,17.39759694,N,,,,
DTXSID1032690,Indoxacarb,173584-44-6,COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1,ph1_v2,80.2325,37.86728564,N,,,,
DTXSID2032556,Fluthiacet-methyl,117337-19-6,COC(=O)CSC1=C(Cl)C=C(F)C(=C1)N=C1SC(=O)N2CCCCN12,ph1_v2,100,55.22392135,N,,,,
DTXSID1032482,Tebupirimfos,96182-53-5,CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,ph1_v2,100,46.68704712,N,,,,
DTXSID3022162,Bromoxynil,1689-84-5,OC1=C(Br)C=C(C=C1Br)C#N,ph1_v2,80.039,101.8368449,Y,,,,
DTXSID6024206,Molinate,2212-67-1,CCSC(=O)N1CCCCCC1,ph1_v2,100.001,11.7722556,N,,,,
DTXSID1032488,Thiazopyr,117718-60-2,COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F,ph1_v2,100,26.16959325,N,,,,
DTXSID6032356,Ethyl N-cyclohexyl-N-ethylthiolcarbamate,1134-23-2,CCSC(=O)N(CC)C1CCCCC1,ph1_v2,100,31.4554888,N,,,,
DTXSID8034586,Etoxazole,153233-91-1,CCOC1=C(C=CC(=C1)C(C)(C)C)C1COC(=N1)C1=C(F)C=CC=C1F,ph1_v2,66.245,40.06280721,N,,,,
DTXSID7023936,Butylate,2008-41-5,CCSC(=O)N(CC(C)C)CC(C)C,ph1_v2,99.9985,13.29055161,N,,,,
DTXSID0034300,Acetamiprid,135410-20-7,CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N,ph1_v2,99.9985,16.80741562,N,,,,
DTXSID9020160,Bifenthrin,82657-04-3,CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1,ph1_v2,100,54.81977062,N,,,,
DTXSID7024160,Lactofen,77501-63-4,CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O,ph1_v2,100.004,51.80502458,N,,,,
DTXSID2025680,MEHP,4376-20-9,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O,ph1_v2,101.5535,98.98715636,Y,,,,
DTXSID2032500,Triflumizole,68694-11-1,CCCOC\C(=N/C1=C(C=C(Cl)C=C1)C(F)(F)F)N1C=CN=C1,ph1_v2,100.01,94.89291009,Y,,,,
DTXSID7034676,Isazofos,42509-80-8,CCOP(=S)(OCC)OC1=NN(C(C)C)C(Cl)=N1,ph1_v2,100,75.60920129,N,,,,
DTXSID0034930,Fosthiazate,98886-44-3,CCOP(=O)(SC(C)CC)N1CCSC1=O,ph1_v2,99.999,9.812619068,N,,,,
DTXSID1024209,Naled,300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,ph1_v2,99.997,14.80884762,N,,,,
DTXSID6032354,Clodinafop-propargyl,105512-06-9,C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C,ph1_v2,100,57.34298198,N,,,,
DTXSID7020508,Dimethylarsinic acid,75-60-5,C[As](C)(O)=O,ph1_v2,100,-1.783178591,N,,,,
DTXSID2021151,2-Phenylphenol,90-43-7,OC1=C(C=CC=C1)C1=CC=CC=C1,ph1_v2,100.0015,91.73112306,Y,,,,
DTXSID1024091,EPTC,759-94-4,CCCN(CCC)C(=O)SCC,ph1_v2,100,24.28323896,N,,,,
DTXSID1034212,Spiroxamine,118134-30-8,CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,ph1_v2,100,16.42700202,N,,,,
DTXSID0020022,Acifluorfen,50594-66-6,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,ph1_v2,99.997,102.9043768,Y,,,,
DTXSID4022361,Vinclozolin,50471-44-8,CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C,ph1_v2,100.0025,90.08786147,Y,,,,
DTXSID7020479,Dimethoate,60-51-5,CNC(=O)CSP(=S)(OC)OC,ph1_v2,100.047,39.70234844,N,,,,
DTXSID5034723,Isoxaflutole,141112-29-0,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1=C(ON=C1)C1CC1,ph1_v2,99.999,68.1409764,N,,,,
DTXSID3022455,Dimethyl phthalate,131-11-3,COC(=O)C1=C(C=CC=C1)C(=O)OC,ph1_v2,99.998,38.16220644,N,,,,
DTXSID7032551,Fluazinam,79622-59-6,[O-][N+](=O)C1=CC(=C(Cl)C(=C1NC1=C(Cl)C=C(C=N1)C(F)(F)F)[N+]([O-])=O)C(F)(F)F,ph1_v2,100,108.7404655,Y,,,,
DTXSID7034252,Tepraloxydim,149979-41-9,CCC(=NOC\C=C\Cl)C1=C(O)CC(CC1=O)C1CCOCC1,ph1_v2,100.003,12.4369166,N,,,,
DTXSID8024317,Terbacil,5902-51-2,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,ph1_v2,100.002,14.55761879,N,,,,
DTXSID0032605,(+-)-Diclofop-methyl,51338-27-3,COC(=O)C(C)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,ph1_v2,99.9965,94.14863053,Y,,,,
DTXSID9034816,Monocrotophos,6923-22-4,CNC(=O)\C=C(/C)OP(=O)(OC)OC,ph1_v2,99.9985,8.037167081,N,,,,
DTXSID1032640,Pyriproxyfen,95737-68-1,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,ph1_v2,100.001,44.69450297,N,,,,
DTXSID6022341,Prometon,1610-18-0,COC1=NC(NC(C)C)=NC(NC(C)C)=N1,ph1_v2,100.0015,26.92013024,N,,,,
DTXSID2020420,Propyzamide,23950-58-5,CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C,ph1_v2,100,64.76056608,N,,,,
DTXSID2021105,Pentachloronitrobenzene,82-68-8,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,ph1_v2,100,69.70968571,N,,,,
DTXSID5032573,Pyridaben,96489-71-3,CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O,ph1_v2,99.9985,25.13497109,N,,,,
DTXSID9032379,Dithiopyr,97886-45-8,CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F,ph1_v2,99.6485,44.75036396,N,,,,
DTXSID9034232,2-(m-Chlorophenoxy)propionic acid,101-10-0,CC(OC1=CC(Cl)=CC=C1)C(O)=O,ph1_v2,100,38.807782,N,,,,
DTXSID0034227,Icaridin,119515-38-7,CCC(C)OC(=O)N1CCCCC1CCO,ph1_v2,100.002,13.35335271,N,,,,
DTXSID2039336,S-Bioallethrin,28434-00-6,CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C,ph1_v2,99.9985,26.22677057,N,,,,
DTXSID3023899,Benfluralin,1861-40-1,CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,ph1_v2,99.997,37.54389325,N,,,,
DTXSID4020450,Dicofol,115-32-2,OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,ph1_v2,99.9675,64.60991693,N,,,,
DTXSID6034928,Spirodiclofen,148477-71-8,CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)C1=CC=C(Cl)C=C1Cl,ph1_v2,100,42.55183209,N,,,,
DTXSID0020446,Diuron,330-54-1,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,ph1_v2,100.0015,34.40273255,N,,,,
DTXSID0034695,Mancozeb,8018-01-7, ,ph1_v2,50.015,64.10893209,N,,,,
DTXSID3024154,Iprodione,36734-19-7,CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1,ph1_v2,100,99.24209985,Y,,,,
DTXSID3032628,Methoxyfenozide,161050-58-4,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C,ph1_v2,99.7745,86.01481198,Y,,,,
DTXSID6021086,Oxamyl,23135-22-0,CNC(=O)ON=C(SC)C(=O)N(C)C,ph1_v2,100,23.90825161,N,,,,
DTXSID8023890,Asulam,3337-71-1,COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,ph1_v2,100.015,5.443567709,N,,,,
DTXSID7024299,Hexythiazox,78587-05-0,C[C@H]1[C@@H](SC(=O)N1C(=O)NC1CCCCC1)C1=CC=C(Cl)C=C1,ph1_v2,100.0035,56.37578145,N,,,,
DTXSID9034490,Cyanamide,420-04-2,NC#N,ph1_v2,100,3.603488484,N,,,,
DTXSID2032550,"Fenpyroximate (Z,E)",111812-58-9,CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1,ph1_v2,100,26.57892215,N,,,,
DTXSID3034872,Chloridazon,1698-60-8,NC1=C(Cl)C(=O)N(N=C1)C1=CC=CC=C1,ph1_v2,100,63.89055408,N,,,,
